,country_name,sex,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Afghanistan,Female,8.576,9.014,9.463,9.92,11.223,12.587,14.079,14.415,23.818,26.192,28.298
1,Afghanistan,Male,6.463,6.879,7.301,7.728,7.833,7.961,8.732,9.199,11.357,12.327,13.087
2,Albania,Female,13.6,14.499,12.142,10.875,10.312,9.662,10.743,10.736,10.073,9.66,9.488
3,Albania,Male,16.316,13.874,13.311,11.972,10.201,9.43,10.826,10.717,9.882,9.476,9.324
4,Algeria,Female,11.913,12.301,14.918,17.576,17.879,18.138,20.163,19.887,18.914,18.625,18.4
5,Algeria,Male,6.491,7.15,6.042,7.369,7.56,7.726,9.19,8.995,8.053,7.784,7.615
6,Angola,Female,11.437,11.707,11.968,12.162,12.284,12.303,12.206,12.044,11.056,10.685,10.451
7,Angola,Male,8.104,8.691,9.277,9.814,10.292,10.675,10.801,10.272,9.179,9.041,8.866
8,Argentina,Female,6.238,6.394,6.724,6.846,7.931,8.138,9.424,7.546,5.944,5.899,5.728
9,Argentina,Male,4.671,4.871,5.224,5.389,6.119,6.84,8.48,6.048,4.457,4.621,4.657
10,Armenia,Female,9.206,9.268,9.344,9.447,9.544,8.984,8.567,6.342,5.218,5.212,5.248
11,Armenia,Male,11.94,12.393,12.851,13.303,13.753,12.634,13.839,11.867,10.165,9.746,9.609
12,Australia,Female,4.801,4.821,4.598,4.468,4.22,3.997,5.036,4.084,2.934,2.831,2.97
13,Australia,Male,4.448,4.469,4.098,3.989,3.85,3.785,5.014,3.897,2.829,2.756,2.86
14,Austria,Female,4.718,4.669,4.904,4.578,4.091,3.974,4.505,5.684,4.133,4.356,4.747
15,Austria,Male,5.147,5.389,5.631,5.299,4.503,4.049,4.58,5.838,4.51,4.845,5.297
16,Azerbaijan,Female,4.44,4.512,4.626,4.74,4.707,4.797,7.184,5.744,5.437,5.452,5.551
17,Azerbaijan,Male,2.872,2.976,3.08,3.136,3.169,3.382,5.121,4.019,3.783,3.728,3.744
18,The Bahamas,Female,11.521,10.299,11.53,8.796,7.407,7.415,9.339,8.835,7.731,7.353,7.262
19,The Bahamas,Male,10.061,8.713,8.878,6.461,7.432,7.394,9.942,9.042,7.715,7.231,7.132
20,Bahrain,Female,2.407,2.422,2.532,2.587,2.629,2.69,3.789,3.409,3.193,3.068,2.968
21,Bahrain,Male,0.205,0.214,0.237,0.245,0.252,0.269,0.706,0.522,0.379,0.348,0.322
22,Bangladesh,Female,6.35,5.988,5.654,4.275,4.286,4.304,5.06,5.244,4.377,4.365,4.42
23,Bangladesh,Male,1.515,1.528,1.544,1.677,1.684,1.692,2.38,2.334,1.638,1.647,1.676
24,Barbados,Female,9.347,6.72,6.369,6.939,6.768,5.654,6.446,6.406,5.777,5.425,5.182
25,Barbados,Male,9.329,8.275,5.737,6.256,5.918,6.772,8.128,7.927,6.96,6.497,6.203
26,Belarus,Female,3.871,3.837,3.792,3.744,3.151,2.852,2.751,2.551,2.369,2.319,2.302
27,Belarus,Male,6.898,6.924,6.935,6.839,5.297,4.418,3.959,4.168,3.671,3.527,3.448
28,Belgium,Female,6.686,6.748,6.72,6.231,4.789,4.318,4.61,5.029,4.483,4.352,4.374
29,Belgium,Male,7.697,7.77,6.928,6.059,5.471,4.863,4.948,5.5,4.801,5.16,4.99
30,Belize,Female,9.756,7.187,7.46,5.628,7.549,9.305,11.28,11.364,9.824,9.381,9.215
31,Belize,Male,2.499,3.684,2.409,3.157,3.549,3.831,4.887,4.808,3.838,3.561,3.479
32,Benin,Female,1.276,1.296,1.344,1.276,1.036,0.952,1.02,1.295,1.068,1.033,1.013
33,Benin,Male,1.088,1.12,1.182,1.121,0.883,0.799,1.059,1.188,0.889,0.846,0.818
34,Bhutan,Female,2.471,1.52,1.905,2.297,2.695,1.967,3.654,4.0,4.964,5.266,5.44
35,Bhutan,Male,1.22,1.097,1.17,1.26,1.361,1.535,2.801,2.478,2.641,2.772,2.855
36,Bolivia,Female,1.823,2.748,3.198,3.259,2.823,3.143,8.335,4.984,3.64,4.153,4.201
37,Bolivia,Male,0.913,1.844,2.402,2.735,2.653,2.681,4.336,3.888,2.509,2.849,2.885
38,Bosnia and Herzegovina,Female,27.499,26.651,27.331,20.396,17.864,16.564,15.978,16.234,13.891,12.987,12.519
39,Bosnia and Herzegovina,Male,21.256,21.65,19.105,15.987,15.054,11.685,12.304,10.803,9.259,8.603,8.559
40,Botswana,Female,17.549,18.189,18.783,19.266,19.275,19.828,18.934,21.594,21.477,21.785,21.928
41,Botswana,Male,12.367,13.025,13.669,14.247,14.46,15.123,15.89,16.832,18.294,17.951,17.602
42,Brazil,Female,5.865,7.303,9.688,10.807,10.544,10.572,12.409,12.882,8.837,7.25,7.021
43,Brazil,Male,3.886,5.138,7.158,8.15,7.714,7.228,8.836,7.937,5.425,4.804,4.599
44,Brunei,Female,4.65,5.389,6.136,6.883,6.635,5.653,5.588,4.249,3.731,3.849,3.818
45,Brunei,Male,3.39,4.16,4.934,5.707,4.363,3.89,3.997,2.727,2.218,2.227,2.143
46,Bulgaria,Female,9.685,7.748,6.531,5.648,4.364,3.694,4.436,4.707,3.819,4.009,3.762
47,Bulgaria,Male,11.512,9.032,7.555,5.936,5.296,4.299,4.994,4.984,4.133,3.786,3.512
48,Burkina Faso,Female,3.344,3.504,3.555,3.533,3.478,3.499,3.566,3.949,3.819,3.757,3.699
49,Burkina Faso,Male,3.089,3.344,3.482,3.536,3.548,3.57,4.021,4.272,3.915,3.868,3.789
50,Burundi,Female,0.906,0.929,0.896,0.871,0.844,0.819,0.842,0.948,0.646,0.617,0.588
51,Burundi,Male,1.435,1.38,1.221,1.077,0.934,0.794,0.793,0.918,0.638,0.609,0.57
52,Cape Verde,Female,8.013,8.136,8.199,8.294,7.942,8.279,9.834,9.896,8.901,8.72,8.657
53,Cape Verde,Male,7.929,8.085,8.171,8.285,10.393,10.452,12.911,12.536,11.015,10.731,10.612
54,Cambodia,Female,0.576,0.282,0.75,0.097,0.083,0.068,0.122,0.288,0.114,0.119,0.115
55,Cambodia,Male,0.559,0.269,0.464,0.059,0.048,0.036,0.069,0.303,0.099,0.095,0.086
56,Cameroon,Female,3.231,3.214,3.238,3.308,3.366,3.406,3.529,3.806,3.544,3.473,3.435
57,Cameroon,Male,2.227,2.216,2.236,2.294,2.342,2.376,2.686,2.827,2.469,2.407,2.372
58,Canada,Female,5.591,5.515,5.51,5.309,4.88,4.561,7.88,6.483,4.508,4.552,5.129
59,Canada,Male,6.236,6.324,6.627,5.906,5.165,5.097,8.072,6.643,4.525,4.686,5.269
60,Central African Republic,Female,4.54,4.623,4.625,4.63,4.6,4.652,4.79,5.163,4.906,4.831,4.798
61,Central African Republic,Male,3.406,3.555,3.626,3.681,3.667,3.706,4.08,4.18,3.849,3.788,3.737
62,Chad,Female,0.583,0.624,0.695,0.765,0.786,0.735,1.049,1.155,0.778,0.704,0.671
63,Chad,Male,0.838,0.894,1.019,1.144,1.162,1.051,2.034,1.68,1.097,0.994,0.946
66,Chile,Female,5.337,5.622,5.945,6.093,6.538,6.647,9.833,8.428,7.837,8.298,8.596
67,Chile,Male,5.174,4.961,5.344,5.522,5.602,5.545,9.691,8.274,7.044,7.83,7.921
68,People's Republic of China,Female,3.211,3.274,3.25,3.214,3.168,3.33,3.612,3.204,3.395,3.312,3.318
69,People's Republic of China,Male,4.167,4.233,4.189,4.132,4.064,4.264,4.61,4.082,4.324,4.142,4.128
70,Colombia,Female,8.592,8.533,8.937,9.26,9.493,10.634,17.721,15.511,10.994,9.807,9.691
71,Colombia,Male,5.221,5.216,5.458,5.616,5.797,6.617,11.099,9.287,7.212,6.39,6.184
72,Comoros,Female,4.676,4.798,4.892,4.888,4.861,4.978,5.62,5.881,5.894,5.865,5.835
73,Comoros,Male,3.803,3.912,3.993,3.987,3.962,4.067,4.901,5.005,4.849,4.801,4.754
74,Republic of the Congo,Female,16.201,16.721,17.12,17.566,17.628,17.222,18.319,18.694,16.848,16.292,15.951
75,Republic of the Congo,Male,12.935,13.387,13.75,14.147,14.219,13.884,15.32,15.46,13.499,12.917,12.533
76,Democratic Republic of the Congo,Female,2.737,2.744,2.828,2.911,2.934,2.915,3.229,3.463,2.958,2.835,2.797
77,Democratic Republic of the Congo,Male,4.106,4.118,4.259,4.401,4.441,4.41,5.381,5.403,4.441,4.276,4.247
78,Costa Rica,Female,6.799,7.313,7.072,7.044,8.05,10.533,16.501,15.428,11.868,7.81,7.494
79,Costa Rica,Male,4.411,4.823,4.798,4.511,5.045,5.439,10.022,8.499,6.11,5.266,4.621
